Tumor_Sample_Barcode	frac	sample	min_alt
TCGA-13-0916-01A-01W-0420-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0920-01A-01W-0420-08	0.646206771682057	Tumor	Min depth = 5
TCGA-13-0921-01A-01W-0420-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-0923-01A-01W-0420-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-1403-01A-01W-0492-08	0.296276178405456	Tumor	Min depth = 5
TCGA-13-1404-01A-01W-0494-09	0.999879292654958	Tumor	Min depth = 5
TCGA-13-1405-01A-01W-0494-09	0.999879292654958	Tumor	Min depth = 5
TCGA-13-1411-01A-01W-0492-08	0.513730460498521	Tumor	Min depth = 5
TCGA-13-1412-01A-01W-0492-08	0.358500814774579	Tumor	Min depth = 5
TCGA-13-1477-01A-01D-0472-01	0.995352767215885	Tumor	Min depth = 5
TCGA-13-1481-01A-01W-0549-09	0.999879292654958	Tumor	Min depth = 5
TCGA-13-1482-01A-01W-0549-09	0.999879292654958	Tumor	Min depth = 5
TCGA-13-1483-01A-01W-0549-09	0.999637877964874	Tumor	Min depth = 5
TCGA-13-1484-01A-01W-0545-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-1487-01A-01W-0545-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-1488-01A-01W-0549-09	0.951837769328264	Tumor	Min depth = 5
TCGA-13-1489-01A-01W-0549-09	0.848391574627316	Tumor	Min depth = 5
TCGA-13-1491-01A-01W-0549-09	0.999336109602269	Tumor	Min depth = 5
TCGA-13-1492-01A-01W-0545-08	0.999456816947311	Tumor	Min depth = 5
TCGA-13-1494-01A-01W-0545-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-1495-01A-01W-0545-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-1496-01A-01W-0545-08	0.999879292654958	Tumor	Min depth = 5
TCGA-13-1497-01A-01W-0549-09	0.999879292654958	Tumor	Min depth = 5
TCGA-13-1498-01A-01W-0549-09	0.999879292654958	Tumor	Min depth = 5
TCGA-13-1499-01A-01W-0549-09	0.999758585309916	Tumor	Min depth = 5
TCGA-13-1500-01A-01D-0472-01	0.994809584163196	Tumor	Min depth = 5
TCGA-13-1501-01A-01W-0545-08	0.998068682479329	Tumor	Min depth = 5
TCGA-13-1504-01A-01W-0545-08	0.999939646327479	Tumor	Min depth = 5
TCGA-13-1505-01A-01D-0472-01	0.969521395376909	Tumor	Min depth = 5
TCGA-13-1506-01A-01W-0549-09	0.979600458687911	Tumor	Min depth = 5
