Tumor_Sample_Barcode	purity_facets	purity_impact
P-0007305-T01-IM5	NA	0.2
P-0007315-T01-IM5	NA	0.3
P-0007334-T01-IM5	NA	NA
P-0007342-T01-IM5	0.194175811241008	0.5
P-0007357-T01-IM5	0.414719001617884	0.3
P-0007361-T01-IM5	NA	0.15
P-0007365-T01-IM5	NA	0.3
P-0007368-T01-IM5	NA	NA
P-0007373-T01-IM5	NA	NA
P-0007377-T02-IM5	NA	0.9
P-0007380-T01-IM5	NA	0.4
P-0007381-T01-IM5	NA	0.4
P-0007389-T01-IM5	NA	0.4
P-0007391-T01-IM5	0.396729954025747	0.3
P-0007405-T01-IM5	0.362437187163827	0.35
P-0007410-T01-IM5	0.67339353058389	0.25
P-0007414-T01-IM5	0.269857411346339	0.15
P-0007419-T01-IM5	NA	0.5
P-0007483-T01-IM5	NA	NA
P-0007486-T01-IM5	NA	NA
P-0007488-T01-IM5	NA	NA
